combined_index,endpoint_variant_id,openrouter_model_id,provider_name,endpoint_tag,quantization,provider_error_count,deliberation_score,completed_count,result_rows,schema_violation_count,timeout_count,context_limit_error_count,run_dir
1,b4259a67d49dc13019b5d65c,anthropic/claude-opus-4.6-fast,Anthropic,anthropic,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/01-anthropic-claude-opus-4.6-fast-anthropic-anthropic
2,456b0257aaa1e0750976af36,mistralai/devstral-2512,Mistral,mistral,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/02-mistralai-devstral-2512-mistral-mistral
3,e13de45fcb73feb645917626,openai/gpt-4o-mini-2024-07-18,OpenAI,openai,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/03-openai-gpt-4o-mini-2024-07-18-openai-openai
6,c6415f8af2c2b107ee1faa61,qwen/qwen-plus,Alibaba,alibaba,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/06-qwen-qwen-plus-alibaba-alibaba
7,c14397378cbcfdb9348ddc6e,arcee-ai/trinity-mini,Clarifai,clarifai/bf16,bf16,0,1.0,60,60,5,0,0,evals/variant-runs/07-arcee-ai-trinity-mini-clarifai-clarifai-bf16
9,4ecf6521cde300101988e90b,deepseek/deepseek-v4-flash,GMICloud,gmicloud/fp8,fp8,0,1.0,60,60,1,0,0,evals/variant-runs/09-deepseek-deepseek-v4-flash-gmicloud-gmicloud-fp8
12,0df7859af877ebba7fff2b44,deepseek/deepseek-v4-flash,Alibaba,alibaba,unknown,0,1.0,60,60,1,0,0,evals/variant-runs/12-deepseek-deepseek-v4-flash-alibaba-alibaba
13,f5d3ca382406ca2ecb51874b,deepseek/deepseek-v4-flash,Morph,morph,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/13-deepseek-deepseek-v4-flash-morph-morph
16,8ad8013a135430fcb5bf0cd2,deepseek/deepseek-v4-flash,AtlasCloud,atlas-cloud/fp8,fp8,0,0.9722222222222222,60,60,1,0,0,evals/variant-runs/16-deepseek-deepseek-v4-flash-atlascloud-atlas-cloud-fp8
18,a7f707e5e5bd14921f3b5303,deepseek/deepseek-v4-flash,Novita,novita/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/18-deepseek-deepseek-v4-flash-novita-novita-fp8
22,fe9862d5b4726306fe215563,google/gemini-2.5-flash-lite,Google,google-vertex,unknown,0,0.9166666666666666,60,60,3,0,0,evals/variant-runs/22-google-gemini-2.5-flash-lite-google-google-vertex-unknown
26,92981c9e494c09f1bf07f229,minimax/minimax-m2.7,Mara,mara,unknown,0,0.9166666666666666,60,60,6,0,0,evals/variant-runs/26-minimax-minimax-m2.7-mara-mara-unknown
27,80b529845dc195e65bf943d7,minimax/minimax-m2.7,Together,together/fp4,fp4,0,0.9722222222222222,60,60,21,0,0,evals/variant-runs/27-minimax-minimax-m2.7-together-together-fp4
28,ae9869414ee1bf84ab2bdb5b,minimax/minimax-m2.7,Minimax,minimax/fp8,fp8,0,1.0,60,60,1,0,0,evals/variant-runs/28-minimax-minimax-m2.7-minimax-minimax-fp8
30,5a70346f17b5f0b2d72e7562,minimax/minimax-m2.7,Minimax,minimax/highspeed,fp8,0,1.0,60,60,2,0,0,evals/variant-runs/30-minimax-minimax-m2.7-minimax-minimax-highspeed-fp8
32,cba46006894203dc5e21f980,qwen/qwen3-vl-8b-thinking,Alibaba,alibaba,unknown,0,1.0,60,60,1,0,0,evals/variant-runs/32-qwen-qwen3-vl-8b-thinking-alibaba-alibaba-unknown
38,c3201cb21211aae6d6b70c99,google/gemma-4-26b-a4b-it,Cloudflare,cloudflare,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/38-google-gemma-4-26b-a4b-it-cloudflare-cloudflare-unknown
39,d15887204ffd412560334819,google/gemma-4-26b-a4b-it,SiliconFlow,siliconflow/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/39-google-gemma-4-26b-a4b-it-siliconflow-siliconflow-fp8-fp8
41,4cbab58be3b90caf9eb219e0,google/gemma-4-26b-a4b-it,Novita,novita/bf16,bf16,0,1.0,60,60,0,0,0,evals/variant-runs/41-google-gemma-4-26b-a4b-it-novita-novita-bf16-bf16
42,81d44b521561c83a947d7496,google/gemma-4-26b-a4b-it,NextBit,nextbit/bf16,bf16,0,1.0,60,60,0,0,0,evals/variant-runs/42-google-gemma-4-26b-a4b-it-nextbit-nextbit-bf16-bf16
43,3712c5ec61988b0098200b69,google/gemma-4-26b-a4b-it,Google,google-vertex/global,unknown,0,1.0,60,60,0,0,0,evals/variant-runs/43-google-gemma-4-26b-a4b-it-google-google-vertex-global-unknown
54,b84914ecedaf80fce6e90b3c,minimax/minimax-m2.5,Baidu,baidu/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/54-minimax-minimax-m2.5-baidu-baidu-fp8-fp8
55,596701fa9efeea1fea63bd71,minimax/minimax-m2.5,AtlasCloud,atlas-cloud/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/55-minimax-minimax-m2.5-atlascloud-atlas-cloud-fp8-fp8
57,f58c0b395329c11e5d57b695,minimax/minimax-m2.5,Friendli,friendli,unknown,0,0.9722222222222222,60,60,1,0,0,evals/variant-runs/57-minimax-minimax-m2.5-friendli-friendli-unknown
58,f2d16ba6ab902d1d21a2916b,minimax/minimax-m2.5,Minimax,minimax/fp8,fp8,0,0.9722222222222222,60,60,2,0,0,evals/variant-runs/58-minimax-minimax-m2.5-minimax-minimax-fp8-fp8
59,678702ec8f978f794b91f3c3,minimax/minimax-m2.5,Novita,novita/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/59-minimax-minimax-m2.5-novita-novita-fp8-fp8
60,682f7ad759ce1cc1230c4d1c,minimax/minimax-m2.5,SiliconFlow,siliconflow/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/60-minimax-minimax-m2.5-siliconflow-siliconflow-fp8-fp8
61,a3534e6d3794b11bddac1277,minimax/minimax-m2.5,Parasail,parasail/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/61-minimax-minimax-m2.5-parasail-parasail-fp8-fp8
62,fb51bfb3e052d4742fff32e0,minimax/minimax-m2.5,WandB,wandb/fp8,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/62-minimax-minimax-m2.5-wandb-wandb-fp8-fp8
65,8cae654e3fb6b5904a4bed5f,minimax/minimax-m2.5,Minimax,minimax/highspeed,fp8,0,1.0,60,60,0,0,0,evals/variant-runs/65-minimax-minimax-m2.5-minimax-minimax-highspeed-fp8
67,480c7dd371fb2023e691066f,moonshotai/kimi-k2-thinking,AtlasCloud,atlas-cloud/int4,int4,0,1.0,60,60,0,0,0,evals/variant-runs/67-moonshotai-kimi-k2-thinking-atlascloud-atlas-cloud-int4-int4
72,86ab3e0e692e3760dcf82259,z-ai/glm-4.6v,Novita,novita/bf16,bf16,0,1.0,60,60,1,0,0,evals/variant-runs/72-z-ai-glm-4.6v-novita-novita-bf16-bf16
